heights,A,B,C,E,F,G,H,I,J,K,L,M
0.5,0.48,0.734,0.67,0.002,0.048,0.03,0.3,0.178,0.164,0.14,0.9,0.38
2,0.003,0.03,0.1,0.001,0.02,0.028,0.028,0.12,0.16,0.15,0.05,0.4
5,0,0.016,0.045,0.001,0.018,0.06,0.02,0.06,0.06,0.1,0.06,0.12
10,0,0.01,0.028,0,0.017,0.04,0.022,0.045,0.01,0.04,0.05,0.03
20,0,0,0.012,0.008,0.013,0.06,0.018,0.022,0.006,0.01,0.05,0.03
30,0,0,0.005,0.017,0.01,0.012,0.007,0.005,0.01,0.02,0.02,0.03
45,0,0,0,0.04,0.015,0.018,0.009,0,0.025,0.03,0.025,0.03
60,0,0,0,0.01,0,0,0,0,0.021,0.0035,0.03,0.02
75,0,0,0,0,0,0,0,0,0,0.04,0.04,0.01
90,0,0,0,0,0,0,0,0,0,0,0,0